site,date,Clorofila a (laboratorio/campo),Clorofila de cianobacterias (FluoroProbe),Clorofila total (FluoroProbe),Biovolumen de cianobacterias (µm³/mL),% cianobacterias (biovolumen),lat,lon,embalse,punto
sp1,2024-06-18,1.0684900000000002,,,82.63898080000001,2.8078245869091147,42.179674482992,-2.6872546967838,GONZALEZ LACASA,GON-P2
sp1,2025-06-30,2.2879230769230765,0.15357142857142855,1.2085714285714286,90.23870160000001,0.5505294901465742,42.179674482992,-2.6872546967838,GONZALEZ LACASA,GON-P2
sp1,2025-08-25,1.832,,,0.0,0.0,42.179674482992,-2.6872546967838,GONZALEZ LACASA,GON-P2
sp1,2026-06-18,1.1735000000000002,0.08285714285714287,0.8379591836734694,,,42.179674482992,-2.6872546967838,GONZALEZ LACASA,GON-P2
sp1,2026-08-31,1.1605333333333332,0.3046153846153846,1.3707692307692307,,,42.179674482992,-2.6872546967838,GONZALEZ LACASA,GON-P2
sp10,2024-04-30,0.72213,,,0.0,0.0,42.736808508493,-1.9304443944366,ALLOZ,ALL-P4
sp10,2024-06-12,0.98808,,,15.039783600000002,0.8503954067814973,42.736808508493,-1.9304443944366,ALLOZ,ALL-P4
sp10,2024-09-02,2.1586499999999997,,,1826.943685714286,55.13908679759617,42.736808508493,-1.9304443944366,ALLOZ,ALL-P4
sp10,2025-05-29,1.0980999999999992,0.36719999999999997,0.5396,3.6,0.4211018832612001,42.736808508493,-1.9304443944366,ALLOZ,ALL-P4
sp10,2025-09-08,2.82760425,,,105.37428000000001,10.531354715174725,42.736808508493,-1.9304443944366,ALLOZ,ALL-P4
sp10,2026-04-20,0.6628571428571427,0.4827272727272727,0.6893939393939394,0.0,0.0,42.736808508493,-1.9304443944366,ALLOZ,ALL-P4
sp10,2026-08-27,1.7577999999999996,0.6663888888888888,2.3405555555555555,,,42.736808508493,-1.9304443944366,ALLOZ,ALL-P4
sp11,2025-05-12,81.76360000000001,,,12163.257345600001,96.64182170501577,38.9141077,-0.4708166,BELLUS,BLL-P2
sp11,2025-09-24,128.3035053333333,9.5528,60.7442,8792.046744,21.614620130940605,38.9141077,-0.4708166,BELLUS,BLL-P2
sp11,2026-05-11,56.1215,75.25058823529412,100.92235294117647,36529.08622272,62.70357518827036,38.9141077,-0.4708166,BELLUS,BLL-P2
sp13,2024-05-24,0.4495499999999999,,,102.79518923076925,32.378967780077,42.798446684519,-1.6479863625615,SADAR,SAD-P1
sp13,2024-07-02,0.4786499999999999,,,520.2455930000001,80.68390036151142,42.798446684519,-1.6479863625615,SADAR,SAD-P1
sp14,2024-05-27,105.87824,,,0.0,0.0,41.87893173954025,-1.8011748230073499,VAL,VAL-P1
sp14,2024-08-26,69.6514,,,6251.329161,19.95127404052853,41.87893173954025,-1.8011748230073499,VAL,VAL-P1
sp14,2024-11-26,2.670959999999999,0.5874305555555556,0.8098611111111111,9.196300800000001,2.1800592703614132,41.87893173954025,-1.8011748230073499,VAL,VAL-P1
sp14,2025-04-01,29.45519999999999,3.9253846153846155,27.999615384615385,0.0,0.0,41.87893173954025,-1.8011748230073499,VAL,VAL-P1
sp14,2025-06-09,5.015800000000001,,,8509.83091725,8.138104097727254,41.87893173954025,-1.8011748230073499,VAL,VAL-P1
sp14,2025-09-03,13.228005599999996,12.015,14.638333333333334,274316.00344365713,99.33106032691096,41.87893173954025,-1.8011748230073499,VAL,VAL-P1
sp14,2025-11-28,13.491599999999998,0.6606818181818181,5.953636363636363,1681.19874,49.33915750928624,41.87893173954025,-1.8011748230073499,VAL,VAL-P1
sp14,2025-12-01,,1.3129268292682927,1.3129268292682927,,,41.87893173954025,-1.8011748230073499,VAL,VAL-P1
sp14,2026-03-12,3.7691999999999997,0.4953061224489796,1.8593877551020408,210.1498425,16.336903249228534,41.87893173954025,-1.8011748230073499,VAL,VAL-P1
sp14,2026-06-03,11.482624999999997,,,,,41.87893173954025,-1.8011748230073499,VAL,VAL-P1
sp14,2026-09-07,13.505142857142857,2.3000000000000003,15.611578947368422,,,41.87893173954025,-1.8011748230073499,VAL,VAL-P1
