site,date,Clorofila a (laboratorio/campo),Clorofila de cianobacterias (FluoroProbe),Clorofila total (FluoroProbe),Biovolumen de cianobacterias (µm³/mL),% cianobacterias (biovolumen),lat,lon,embalse,punto,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B11,dias_desfase,NDCI,PCI,MCI,3BDA,B5-B4,Turbidez(B4),SABI,FAI,CI_cyano,B3/B4,B5/B3,NDVI,"Sombra 620 (B3,B4)"
sp1,2025-06-30,2.2879230769230765,0.15357142857142855,1.2085714285714286,90.23870160000001,0.5505294901465742,42.179674482992,-2.6872546967838,GONZALEZ LACASA,GON-P2,0.011815134529147982,0.018854820627802693,0.019912668161434978,0.006908071748878924,0.0050216928251121075,0.0,0.0,0.0,0.0,0.010898542600896862,1,-0.1581237343006292,0.7269311911716975,0.0017979260089686097,-0.0,-0.0018863789237668167,0.006908071748878924,-0.17819239689305563,-0.007655493273542601,-0.0017979260089686097,2.8825219084712757,0.2521858338822549,-1.0,-0.005559108744394619
sp1,2026-06-18,1.1735000000000002,0.08285714285714287,0.8379591836734694,,,42.179674482992,-2.6872546967838,GONZALEZ LACASA,GON-P2,0.01370695067264574,0.020075336322869956,0.03284641255605381,0.028524159192825114,0.028079708520179377,0.023774327354260095,0.027529484304932735,0.030977354260089688,0.03778940582959642,0.05120498878923768,3,-0.007851948826168749,0.9844184478974044,0.0020887929745889403,-0.013192477411521148,-0.00044445067264573673,0.028524159192825114,0.04635513979095966,-0.0017949603174603167,-0.0020887929745889403,1.1515295625020878,0.8548790061094237,0.041229120486252095,-0.0019389013452914793
sp1,2026-08-31,1.1605333333333332,0.3046153846153846,1.3707692307692307,,,42.179674482992,-2.6872546967838,GONZALEZ LACASA,GON-P2,0.011816143497757847,0.013514517937219733,0.02228038116591929,0.005546804932735427,0.0008123318385650226,0.0,0.0,0.0,0.0,0.010431726457399105,1,-0.7445150598958105,0.1464504067505432,-0.0017761771300448437,-0.0,-0.0047344730941704044,0.005546804932735427,-0.15496076457019548,-0.006461758488148624,0.0017761771300448437,4.016795513112021,0.03645951263201855,-1.0,-0.00599955156950673
sp11,2026-05-11,56.1215,75.25058823529412,100.92235294117647,36529.08622272,62.70357518827036,38.9141077,-0.4708166,BELLUS,BLL-P2,0.019666140845070425,0.027302028169014086,0.05406016901408451,0.028360338028169015,0.057298535211267605,0.01568535211267606,0.0155063661971831,0.012655943661971833,0.006510309859154932,0.005380619718309859,0,0.33783070088033434,2.0203756088645917,0.0356981896713615,0.2793256520993928,0.02893819718309859,0.028360338028169015,-0.1930183169814822,-0.011400256651017212,-0.0356981896713615,1.9061891632035217,1.0599029980157737,-0.38288196099384775,-0.027319014084507043
sp14,2024-11-26,2.670959999999999,0.5874305555555556,0.8098611111111111,9.196300800000001,2.1800592703614132,41.87893173954025,-1.8011748230073499,VAL,VAL-P1,0.0018777590090090091,0.012730292792792794,0.023045720720720718,0.006340822072072073,0.0008061373873873873,0.0,9.932432432432433e-05,6.835585585585585e-05,4.504504504504505e-07,0.002710416666666667,2,-0.7744110927282755,0.12713452265724204,-0.0021529129129129135,-0.0,-0.0055346846846846855,0.006340822072072073,-0.17532602434441016,-0.005592485521235522,0.0021529129129129135,3.6345004573184263,0.03497991653880359,-0.9786693842409974,-0.00558510698198198
sp14,2025-04-01,29.45519999999999,3.9253846153846155,27.999615384615385,0.0,0.0,41.87893173954025,-1.8011748230073499,VAL,VAL-P1,0.0,0.00045450450450450447,0.011702364864864864,0.00034410046728971963,0.0,0.0,0.0,0.0,0.0,0.004877308558558559,2,-1.0,0.0,-0.00016058021806853581,,-0.00034410046728971963,0.00034410046728971963,-0.02830502301494827,-0.001193177538352772,0.00016058021806853581,34.00857010464887,0.0,-1.0,-0.005507081965142712
sp14,2025-06-09,5.015800000000001,,,8509.83091725,8.138104097727254,41.87893173954025,-1.8011748230073499,VAL,VAL-P1,0.020322466216216216,0.024327927927927928,0.05887449324324324,0.014077815315315313,0.014825281531531532,0.0045961711711711714,0.005483502252252252,0.0029315315315315317,0.004251745495495496,0.0076676801801801794,1,0.025861111706365923,1.0530953276111705,0.005804343093093094,0.016460747377465813,0.000747466216216219,0.014077815315315313,-0.13396585852775472,-0.009945655298155295,-0.005804343093093094,4.182075977313997,0.25181162019144787,-0.6553034566315552,-0.02277207207207207
sp14,2025-09-03,13.228005599999996,12.015,14.638333333333334,274316.00344365713,99.33106032691096,41.87893173954025,-1.8011748230073499,VAL,VAL-P1,0.0,0.0,0.006417511261261261,2.015765765765766e-05,0.0,0.0,0.0,0.0,0.0,0.0076975788288288285,1,-1.0,0.0,-9.406906906906907e-06,,-2.015765765765766e-05,2.015765765765766e-05,-0.0031410397016889673,-0.0014581508294008293,9.406906906906907e-06,318.36592178770945,0.0,-1.0,-0.0031885979729729726
sp14,2026-03-12,3.7691999999999997,0.4953061224489796,1.8593877551020408,210.1498425,16.336903249228534,41.87893173954025,-1.8011748230073499,VAL,VAL-P1,0.0022608108108108102,0.012347860360360357,0.0484196509009009,0.013216666666666666,0.019852195945945946,0.00031931306306306307,0.0,4.054054054054054e-06,8.727477477477476e-06,0.00653277027027027,1,0.20065792274175343,1.5020577008281926,0.013514117867867867,0.008075357644179762,0.00663552927927928,0.013216666666666666,-0.2174288914977424,-0.011960708208208208,-0.013514117867867867,3.6635297024641282,0.41000287231679683,-0.9993867120954003,-0.02091925675675675
sp16,2025-06-30,0.3678846153846154,0.018571428571428572,0.6985714285714285,84.59878275000001,1.815588620769409,42.174426917454,-2.674036771414,GONZALEZ LACASA,GON-P1,0.011012689500280743,0.017194722066254917,0.017134194272880408,0.006723919146546885,0.0057924761370016856,0.0,0.0,0.0,0.0,0.011355249859629423,1,-0.07441783264623156,0.8614731990012776,0.0026546472019464726,-0.0,-0.0009314430095451994,0.006723919146546885,-0.1958675036555566,-0.007591374740425837,-0.0026546472019464726,2.5482451379088626,0.3380652772316162,-1.0,-0.004739416058394162
