fecha,pc,pc_max,temp_agua,n,t_aire,rad,viento,lluvia,ndci,edad_ndci,nivel_pct,t_aire_3d,t_aire_7d,t_aire_14d,t_aire_30d,rad_7d,viento_7d,lluvia_7d,rad_14d,viento_14d,lluvia_14d,calentamiento_7d,sin_doy,cos_doy,temp_agua_ayer
2024-03-13,2.4475806451612905,4.62,10.564516129032258,62,9.360131835937523,19.2727779375,1.2608425781733645,0.0,,25,58.333333333333336,6.729633797539615,6.7172087533133515,6.336292384919683,7.330547777811705,14.264924732142857,2.6111190296766624,15.537933026411821,13.20237911439732,2.9422219118842174,29.754039450853753,-0.6133390244983534,0.9507903724625832,0.3098349038318025,
2024-03-14,1.9028472222222221,4.42,10.532638888888888,288,11.175539906819665,17.061005,1.9751044769981625,0.18908381451865353,,26,58.333333333333336,7.861835522121869,7.205837322416771,6.611990410941006,7.365489154391838,14.493911053571427,2.6709332024227446,15.537497912532672,13.83371525279018,2.646718114938369,28.330188795298028,-0.15965183197506683,0.9559793438440766,0.2934339689665273,10.564516129032258
2024-03-15,1.2302083333333333,3.38,11.115625,288,11.668696339925134,14.244424875,1.59782424175038,0.2975814283558975,,27,58.333333333333336,9.400878948635542,7.647662644159238,6.855873225984136,7.433255386352558,14.870073785714286,2.4914981809667216,12.115207825786456,14.18241789564732,2.5469686136490375,23.397400780783784,0.21440725780668046,0.9608854255574977,0.27694620226893646,10.532638888888888
2024-03-16,0.8813888888888889,3.32,11.49201388888889,288,12.545899963378929,17.82895925,1.2246192604947528,0.09039474599603636,,28,58.333333333333336,10.734789360894107,8.40073674519858,7.234103956676681,7.446998786926288,15.204034660714285,2.215427801934319,10.101705579813824,14.06386938671875,2.4118223116593627,23.56009093775313,0.953737958272292,0.9655071658143364,0.2603764827344581,11.115625
2024-03-17,0.8955208333333333,2.46,12.342361111111112,288,14.751793797810876,17.8483478125,0.9939183214796772,0.0008583068797918258,,29,58.333333333333336,11.796712070041243,9.277024205525729,7.655412474132736,7.480530187818759,16.025391776785714,1.9013378526997957,4.98266629341515,14.670691618861609,2.2285687294413203,18.11552982458764,1.7964940177069701,0.969843196967294,0.24372971360968387,11.49201388888889
2024-03-18,1.4170486111111111,4.83,13.649305555555555,288,14.26456222534182,17.3693755625,0.7587626955356206,0.0218756759977623,,30,58.333333333333336,12.988796700371646,10.532490939185745,8.437172644478949,7.681282912360316,16.698079875,1.6305186892491925,1.1006545222080888,14.968949364118304,2.065412060632776,16.40604249551103,2.8512080268254296,0.9738922359149924,0.22701082094141847,12.342361111111112
2024-03-19,1.2194444444444443,3.63,14.178819444444445,288,14.530149078369163,19.5126826875,0.7445034862520243,0.40513300336897373,0.0878183467000235,1,58.333333333333336,13.854085328843874,11.633369881766198,9.043394888015033,7.911812188890264,17.07441325,1.3157392659364984,0.6045926573001736,15.546276542131697,1.9609660729716396,16.159625744627704,3.721557692875934,0.9776530844816641,0.2102247521189836,13.649305555555555
2024-03-20,1.6793402777777777,9.16,13.951736111111112,288,14.27127354939779,17.4359444375,2.365571253352384,1.5120506286621094,0.0878183467000235,2,58.333333333333336,14.515501700507286,12.613824735369016,9.665516744341184,8.118258200751429,17.591081875,1.2222250086691402,1.0049269751171153,15.928003303571428,1.9166720191729014,16.542860001528936,4.495566534617588,0.981124629771712,0.19337647441020586,14.178819444444445
2024-03-21,3.023156028368794,8.86,14.785106382978723,282,13.92694753011068,16.389172,0.604516823493877,0.4181742667697108,0.0878183467000235,3,58.333333333333336,14.355328284369591,13.315416408720482,10.260626865568627,8.273932562934046,17.328677089285712,1.3800433908375715,2.5169776037792246,15.911294071428571,2.0254882966301584,18.054475516311896,5.041483845786436,0.984305844499033,0.17647097349152166,13.951736111111112
2024-03-22,3.8233333333333333,6.77,15.314855072463768,276,16.167936579386435,20.466312,0.6393424262413574,0.04421472544891003,0.0878183467000235,4,58.333333333333336,14.242790052625878,13.7084746406192,10.678068642389219,8.44074257744685,17.232700946428572,1.1842451546226738,2.746068056030282,16.05138736607143,1.8378716677946974,14.861275881816738,5.26773206317235,0.9871957872910085,0.15951325197263655,14.785106382978723
