B1,B11,B2,B3,B4,B5,B6,B7,B8,B8A,agua,id,nubes300,t,NDCI,PCI,MCI,3BDA,B5-B4,Turbidez(B4),SABI,FAI,CI_cyano,B3/B4,B5/B3,NDVI,"Sombra 620 (B3,B4)",chl_sup,chl_0_3,pc_sup,pc_0_3,temp_sup,turb_sup,n_sonda,fuente,year
0.0002810538116591,0.0040668721973094,0.0082938901345291,0.01421216367713,0.0025864910313901,0.0014141816143497,0.0,0.0,0.0,0.0,1.0,20180129T110309_20180129T110306_T30TXM,0.0,2018-01-29 11:09:23.830000+00:00,-0.2930280782379828,0.5467568211862901,0.00020715246636765342,-0.0,-0.0011723094170404,0.0025864910313901,-0.11492423563166755,-0.002863768773578159,-0.00020715246636765342,5.494766270073523,0.09950501883294377,-1.0,-0.00522668161434975,21.5,23.9,,,8.1,0.5,1,che_aquadam_el_val,2018
0.0,0.0031677130044843,0.0,0.0062834080717488,0.0002258408071748,0.0,0.0,0.0,0.0,0.0,1.0,20180223T110041_20180223T110631_T30TWM,0.0,2018-02-23 11:09:31.052000+00:00,-1.0,0.0,-0.00010539237668157334,,-0.0002258408071748,0.0002258408071748,-0.035942406508693285,-0.0007768581393692778,0.00010539237668157334,27.82228840904498,0.0,-1.0,-0.0029158632286996004,12.2,13.1,,,7.8,5.2,1,che_aquadam_el_val,2018
0.0140327354260089,0.0082210201793722,0.0255875560538116,0.0445459641255605,0.0224209080717488,0.0171263452914798,0.0036537556053811,0.0038333520179372,0.0027714686098654,0.0022341367713004,1.0,20180315T105811_20180315T110609_T30TWM,0.0032371537732197,2018-03-15 11:06:09.689000+00:00,-0.13387940577415508,0.7638560060401678,0.004714585201793773,-0.05037925061788046,-0.005294562780269001,0.0224209080717488,-0.28017186948021977,-0.016989777920136673,-0.004714585201793773,1.986804637127526,0.3844645778281111,-0.7799756136634729,-0.008415246636771349,10.1,9.35,,,8.5,3.3,1,che_aquadam_el_val,2018
0.0256039237668161,0.0090529708520179,0.0324028026905829,0.0483961883408071,0.0253139573991031,0.0208855381165919,0.0080240470852017,0.0078329035874439,0.0062155269058295,0.005494394618834,1.0,20180315T105811_20180315T110609_T30TXM,0.0032371537732197,2018-03-15 11:06:09.689000+00:00,-0.09585427791103833,0.8250601748003218,0.004792866218236215,-0.06721040112268045,-0.004428419282511198,0.0253139573991031,-0.23636966562928932,-0.016052721901914785,-0.004792866218236215,1.9118381048757642,0.43155336882143386,-0.6057324093399702,-0.009326905829596398,10.1,9.35,,,8.5,3.3,1,che_aquadam_el_val,2018
0.0155834080717488,0.0132436098654708,0.0301001121076233,0.0353127802690583,0.0145130605381165,0.0110911995515695,0.00696182735426,0.0089423206278026,0.0074633408071748,0.007111995515695,1.0,20180330T105619_20180330T110002_T30TWM,0.0029229759373439,2018-03-30 11:00:02+00:00,-0.13364420508778566,0.7642219587274534,0.0006054633781764664,-0.14799535520328636,-0.003421860986547001,0.0145130605381165,-0.1077726343355333,-0.006811949604954093,-0.0006054633781764664,2.4331725328585434,0.3140845741134637,-0.32078590212187696,-0.0086889293721974,6.4,4.45,,,9.3,10.0,1,che_aquadam_el_val,2018
0.0220717488789237,0.0133081278026905,0.0338729260089686,0.0374383968609865,0.015685033632287,0.0124586883408071,0.0081957399103139,0.0098600336322869,0.0083,0.0077858744394618,1.0,20180330T105619_20180330T110002_T30TXM,0.0029229759373439,2018-03-30 11:00:02+00:00,-0.1146381880322846,0.7943042159094513,0.0007679446935724196,-0.13531353389204445,-0.0032263452914799012,0.015685033632287,-0.10356046326267865,-0.00693983539753718,-0.0007679446935724196,2.3868866168014513,0.3327783608648571,-0.307901741790588,-0.0092635089686098,6.4,4.45,,,9.3,10.0,1,che_aquadam_el_val,2018
0.0122349775784753,0.0235175448430493,0.0169989349775784,0.0210801008968609,0.0193438901345291,0.0251117713004484,0.0128003363228699,0.0146386771300448,0.0110556053811659,0.0127770179372197,0.7959641255605382,20180509T105619_20180509T110439_T30TWM,0.0057225248677367,2018-05-09 11:04:39+00:00,0.12974458099910668,1.2981758646169912,0.009257776532137541,0.15199052686466036,0.005767881165919302,0.0193438901345291,-0.21766004739964392,-0.009070016905117776,-0.009257776532137541,1.0897549950013747,1.1912547963272733,-0.27264547035275727,-0.0037520459641255527,63.1,44.4,,,18.4,23.6,1,che_aquadam_el_val,2018
0.0354924887892376,0.0116960201793721,0.0355789798206278,0.0603375560538116,0.0248278026905829,0.0311408071748878,0.0083030829596412,0.0087130605381165,0.0071298766816143,0.0068661434977578,1.0,20180723T105621_20180723T110518_T30TWM,0.0028612624338683,2018-07-23 11:05:18.017000+00:00,0.11279544908260533,1.2542715746125774,0.015126188340807142,0.06779650785639711,0.006313004484304902,0.0248278026905829,-0.18451381555455948,-0.015238322300519594,-0.015126188340807142,2.430241483943218,0.5161098528272359,-0.5537925893444436,-0.0209113789237668,38.3,28.599999999999998,,,23.4,0.6,1,che_aquadam_el_val,2018
0.047914798206278,0.0117820067264574,0.0435905269058296,0.0634602017937219,0.0257101457399103,0.0325085762331838,0.009534360986547,0.0096881165919282,0.0080059417040358,0.0074594730941704,1.0,20180723T105621_20180723T110518_T30TXM,0.0028612624338683,2018-07-23 11:05:18.017000+00:00,0.11677395626127642,1.2644259803910867,0.015425515695067263,0.07755285045971104,0.006798430493273503,0.0257101457399103,-0.1653814434609138,-0.015095441490497607,-0.015425515695067263,2.4682941293176546,0.5122671424659709,-0.525096634219739,-0.022274243273542552,38.3,28.599999999999998,,,23.4,0.6,1,che_aquadam_el_val,2018
0.0107634529147982,0.0077451233183856,0.0113885089686098,0.0127516255605381,0.004284529147982,0.0176364910313901,0.000105197244834,0.0001436026936026,0.0001,0.0001,1.0,20180802T105621_20180802T105938_T30TWM,0.0028612624338683,2018-08-02 10:59:38.888000+00:00,0.6090940008336122,4.1163195352975555,0.015580938898420367,0.01858806428967037,0.0133519618834081,0.004284529147982,-0.17334324060743775,-0.004832703929105214,-0.015580938898420367,2.976202313046248,1.3830778631054679,-0.954385067757606,-0.0109095291479821,500.0,258.15,,,26.4,0.5,1,che_aquadam_el_val,2018
