B1,B11,B2,B3,B4,B5,B6,B7,B8,B8A,agua,id,nubes300,t
0.002062219730941704,0.013810762331838568,0.01609103139013453,0.03242797085201794,0.01088963004484305,0.004523374439461884,0.0001,0.00015919282511210763,0.0010942825112107623,0.0011542040358744395,1.0,20180104T110431_20180104T110452_T30TWM,0.032938179900472944,2018-01-04 11:04:52.496000+00:00
0.0001,0.012528531390134531,0.013354988789237668,0.03035089686098655,0.009566199551569506,0.002991816143497758,0.0001,0.0001,0.00010493273542600897,0.00010280269058295964,1.0,20180104T110431_20180104T110452_T30TXM,0.032938179900472944,2018-01-04 11:04:52.496000+00:00
0.6946835201793722,0.21272387892376687,0.664070908071749,0.5945252802690584,0.5480147982062781,0.5455042600896862,0.5273558856502243,0.510210369955157,0.5557280829596413,0.482767600896861,0.0,20180109T110419_20180109T110603_T30TXM,1.0,2018-01-09 11:06:03.474000+00:00
0.0031374439461883414,0.013912892376681614,0.001476121076233184,0.0048497197309417045,0.0009071188340807175,0.0016457959641255609,0.0014797085201793726,0.002800224215246637,0.0012376121076233186,0.0032920403587443953,0.5184977578475336,20180119T110349_20180119T110840_T30TWM,0.14719792642628318,2018-01-19 11:08:40.077000+00:00
0.01578766816143498,0.012525672645739911,0.006740470852017938,0.007066479820627804,0.0008374439461883409,0.0014170403587443947,0.0010598654708520179,0.002203026905829597,0.0010020739910313902,0.002573430493273543,0.5184977578475336,20180119T110349_20180119T110840_T30TXM,0.1400335497046167,2018-01-19 11:08:40.077000+00:00
0.0145835201793722,0.004739966367713005,0.015923654708520182,0.016278979820627804,0.005569394618834081,0.0033509529147982067,0.0001,0.0001789237668161435,0.0005292040358744396,0.00018878923766816146,1.0,20180124T110331_20180124T110332_T30TWM,0.02553255948340187,2018-01-24 11:03:32.457000+00:00
0.033291031390134534,0.00406042600896861,0.025357006726457406,0.020431558295964127,0.006242432735426009,0.0037301008968609866,0.0001,0.0001295964125560538,0.00029607623318385654,0.0001147982062780269,1.0,20180124T110331_20180124T110332_T30TXM,0.024101928266467683,2018-01-24 11:03:32.457000+00:00
0.0,0.002144899103139014,0.0,0.004598374439461884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,20180129T110309_20180129T110306_T30TWM,0.0,2018-01-29 11:09:27.540000+00:00
0.0002810538116591929,0.004066872197309418,0.008293890134529148,0.014212163677130046,0.002586491031390134,0.0014141816143497757,0.0,0.0,0.0,0.0,1.0,20180129T110309_20180129T110306_T30TXM,0.0,2018-01-29 11:09:23.830000+00:00
0.2082813901345292,0.23323475336322874,0.19976210762331842,0.1949898542600897,0.19472264573991033,0.20683503363228703,0.21861799327354262,0.22315700672645747,0.22014758968609874,0.22585011210762337,0.0,20180208T110209_20180208T110211_T30TWM,0.8252610200681093,2018-02-08 11:02:11.458000+00:00
