B1,B11,B2,B3,B4,B5,B6,B7,B8,B8A,agua,id,nubes300,t,NDCI,PCI,MCI,3BDA,B5-B4,Turbidez(B4),SABI,FAI,CI_cyano,B3/B4,B5/B3,NDVI,"Sombra 620 (B3,B4)",chl_sup,chl_0_3,pc_sup,pc_0_3,temp_sup,turb_sup,n_sonda,fuente
0.0002810538116591929,0.004066872197309418,0.008293890134529148,0.014212163677130046,0.002586491031390134,0.0014141816143497757,0.0,0.0,0.0,0.0,1.0,20180129T110309_20180129T110306_T30TXM,0.0,2018-01-29 11:09:23.830000+00:00,-0.29302807823796445,0.5467568211863122,0.00020715246636771305,-0.0,-0.0011723094170403585,0.002586491031390134,-0.11492423563166858,-0.0028637687735781907,-0.00020715246636771305,5.494766270073469,0.09950501883294877,-1.0,-0.005226681614349777,21.5,23.9,,,8.1,0.5,1,che_aquadam_el_val
0.0,0.0031677130044843044,0.0,0.006283408071748881,0.00022584080717488793,0.0,0.0,0.0,0.0,0.0,1.0,20180223T110041_20180223T110631_T30TWM,0.0,2018-02-23 11:09:31.052000+00:00,-1.0,0.0,-0.00010539237668161436,,-0.00022584080717488793,0.00022584080717488793,-0.035942406508706816,-0.0007768581393693501,0.00010539237668161436,27.822288409034506,0.0,-1.0,-0.0029158632286995527,12.2,13.1,,,7.8,5.2,1,che_aquadam_el_val
0.01403273542600897,0.0082210201793722,0.025587556053811664,0.04454596412556054,0.02242090807174888,0.017126345291479824,0.003653755605381166,0.00383335201793722,0.002771468609865471,0.0022341367713004487,1.0,20180315T105811_20180315T110609_T30TWM,0.0032371537732197053,2018-03-15 11:06:09.689000+00:00,-0.13387940577415616,0.7638560060401662,0.004714585201793724,-0.050379250617881635,-0.005294562780269057,0.02242090807174888,-0.28017186948021955,-0.016989777920136666,-0.004714585201793724,1.986804637127521,0.3844645778281113,-0.7799756136634687,-0.008415246636771304,10.1,9.35,,,8.5,3.3,1,che_aquadam_el_val
0.025603923766816146,0.009052970852017938,0.03240280269058296,0.048396188340807174,0.025313957399103148,0.020885538116591933,0.008024047085201796,0.007832903587443948,0.006215526905829597,0.005494394618834083,1.0,20180315T105811_20180315T110609_T30TXM,0.0032371537732197053,2018-03-15 11:06:09.689000+00:00,-0.09585427791103855,0.8250601748003215,0.004792866218236172,-0.06721040112268126,-0.004428419282511215,0.025313957399103148,-0.23636966562928832,-0.016052721901914733,-0.004792866218236172,1.9118381048757636,0.4315533688214338,-0.6057324093399659,-0.009326905829596405,10.1,9.35,,,8.5,3.3,1,che_aquadam_el_val
0.015583408071748881,0.013243609865470855,0.030100112107623325,0.0353127802690583,0.014513060538116594,0.011091199551569508,0.006961827354260091,0.008942320627802692,0.007463340807174888,0.007111995515695068,1.0,20180330T105619_20180330T110002_T30TWM,0.0029229759373439624,2018-03-30 11:00:02+00:00,-0.13364420508778843,0.764221958727449,0.0006054633781763822,-0.14799535520329085,-0.003421860986547086,0.014513060538116594,-0.10777263433553334,-0.0068119496049540915,-0.0006054633781763822,2.4331725328585274,0.31408457411346397,-0.3207859021218746,-0.00868892937219731,6.4,4.45,,,9.3,10.0,1,che_aquadam_el_val
0.02207174887892377,0.013308127802690584,0.033872926008968615,0.037438396860986545,0.015685033632287,0.012458688340807177,0.008195739910313903,0.009860033632286998,0.008300000000000002,0.0077858744394618835,1.0,20180330T105619_20180330T110002_T30TXM,0.0029229759373439624,2018-03-30 11:00:02+00:00,-0.11463818803228157,0.7943042159094562,0.0007679446935724941,-0.13531353389204046,-0.003226345291479825,0.015685033632287,-0.10356046326267855,-0.006939835397537194,-0.0007679446935724941,2.386886616801454,0.3327783608648588,-0.30790174179058794,-0.00926350896860986,6.4,4.45,,,9.3,10.0,1,che_aquadam_el_val
0.03549248878923767,0.011696020179372199,0.03557897982062781,0.06033755605381167,0.024827802690582962,0.031140807174887895,0.008303082959641257,0.008713060538116593,0.00712987668161435,0.006866143497757847,1.0,20180723T105621_20180723T110518_T30TWM,0.0028612624338683703,2018-07-23 11:05:18.017000+00:00,0.11279544908260557,1.254271574612578,0.015126188340807175,0.06779650785639757,0.0063130044843049335,0.024827802690582962,-0.18451381555455945,-0.015238322300519613,-0.015126188340807175,2.4302414839432145,0.5161098528272369,-0.5537925893444421,-0.02091137892376682,38.3,28.599999999999998,,,23.4,0.6,1,che_aquadam_el_val
0.047914798206278024,0.0117820067264574,0.0435905269058296,0.06346020179372197,0.025710145739910314,0.032508576233183865,0.009534360986547086,0.009688116591928251,0.008005941704035876,0.007459473094170404,1.0,20180723T105621_20180723T110518_T30TXM,0.0028612624338683703,2018-07-23 11:05:18.017000+00:00,0.11677395626127711,1.2644259803910884,0.015425515695067274,0.07755285045971211,0.006798430493273552,0.025710145739910314,-0.1653814434609131,-0.015095441490497545,-0.015425515695067274,2.468294129317656,0.5122671424659714,-0.5250966342197357,-0.022274243273542608,38.3,28.599999999999998,,,23.4,0.6,1,che_aquadam_el_val
0.010763452914798206,0.007745123318385651,0.011388508968609868,0.01275162556053812,0.004284529147982064,0.017636491031390134,0.00010519724483406387,0.00014360269360269362,0.0001,0.0001,1.0,20180802T105621_20180802T105938_T30TWM,0.0028612624338683703,2018-08-02 10:59:38.888000+00:00,0.6090940008336082,4.116319535297503,0.015580938898420337,0.018588064289681305,0.013351961883408071,0.004284529147982064,-0.17334324060743972,-0.004832703929105275,-0.015580938898420337,2.9762023130462087,1.3830778631054683,-0.9543850677576067,-0.010909529147982065,500.0,258.15,,,26.4,0.5,1,che_aquadam_el_val
0.01823699551569507,0.009050336322869954,0.01975442825112108,0.018920291479820633,0.008592937219730944,0.02255980941704036,0.0017514896373056995,0.001766875,0.0009533632286995516,0.00037173766058147393,1.0,20180802T105621_20180802T105938_T30TXM,0.0028612624338683703,2018-08-02 10:59:38.888000+00:00,0.4483351776380304,2.625389763728163,0.017615644241269546,0.12619137312402517,0.013966872197309417,0.008592937219730944,-0.1975340492233574,-0.007725245569079651,-0.017615644241269546,2.2018421636290104,1.1923605638476258,-0.8002654046246169,-0.012147113228699553,500.0,258.15,,,26.4,0.5,1,che_aquadam_el_val
0.008971973094170404,0.007350840807174888,0.003134024663677131,0.011972141255605383,0.00761109865470852,0.01591065022421525,0.0027306614349775792,0.0032386210762331844,0.0014341367713004483,0.0021788116591928254,1.0,20180822T105621_20180822T110418_T30TWM,0.0028612624338683703,2018-08-22 11:04:18.291000+00:00,0.35284585394682916,2.0904538156751267,0.010902451420029897,0.1871488681560205,0.008299551569506729,0.00761109865470852,-0.4089033522082124,-0.006128215175457329,-0.010902451420029897,1.5729846371389435,1.3289728115065338,-0.6828967508846295,-0.006330297085201796,177.7,94.1,,,23.4,64.3,1,che_aquadam_el_val
0.025338340807174887,0.006761995515695068,0.01748301569506727,0.016275616591928256,0.006576961883408072,0.015045123318385652,0.0010012152777777777,0.001399625,0.00019899103139013456,0.0004095732410611303,1.0,20180822T105621_20180822T110418_T30TXM,0.0028612624338683703,2018-08-22 11:04:18.291000+00:00,0.3916440692905548,2.2875491123554332,0.011441892957980404,0.0856831688846402,0.00846816143497758,0.006576961883408072,-0.1889285915909234,-0.00641262794504947,-0.011441892957980404,2.4746405529561173,0.9243965187682748,-0.9412655212064559,-0.009083408071748882,177.7,94.1,,,23.4,64.3,1,che_aquadam_el_val
0.0013214125560538116,0.008008183856502243,0.0053873878923766825,0.007575952914798206,0.003412556053811659,0.0080484865470852,0.0020982256020278833,0.0018985645933014353,0.0012330030487804878,0.001133071748878924,1.0,20180827T110029_20180827T110638_T30TWM,0.0028612624338683703,2018-08-27 11:06:38.056000+00:00,0.4044946567872252,2.3584921156373193,0.005336906734224889,0.35415638959048046,0.004635930493273542,0.003412556053811659,-0.16813204539256132,-0.0030403213871224234,-0.005336906734224889,2.220022996057819,1.0623728311938143,-0.46916914775984997,-0.004399663677130045,34.4,73.35,,,22.8,0.9,1,che_aquadam_el_val
0.010333183856502245,0.009189405829596415,0.017372029147982065,0.015029428251121076,0.007559529147982064,0.012624719730941706,0.00368895739910314,0.004712612107623319,0.0035968023255813957,0.0037408071748878924,1.0,20180827T110029_20180827T110638_T30TXM,0.0028612624338683703,2018-08-27 11:06:38.056000+00:00,0.25094768764215314,1.6700404858299596,0.007129495515695068,0.19578658858011092,0.005065190582959642,0.007559529147982064,-0.12230088213594845,-0.004268005311972881,-0.007129495515695068,1.9881434355118563,0.8400000000000001,-0.3551998102414689,-0.006267544843049327,34.4,73.35,,,22.8,0.9,1,che_aquadam_el_val
0.006421412556053813,0.005178643497757848,0.0011355941704035875,0.002370683856502242,0.0001,0.020113004484304937,0.0002765287769784173,0.0012928333333333331,0.00016956278026905832,0.00014007490636704122,1.0,20180901T105621_20180901T105939_T30TWM,0.0028612624338683703,2018-09-01 10:59:39.499000+00:00,0.9901053799223517,201.13004484304935,0.019918855803249782,2.7515390144853713,0.020013004484304937,0.0001,0.01983949354137358,-0.0008816752081998719,-0.019918855803249782,23.70683856502242,8.48405173432956,0.25805780827614894,-0.01114184417040359,258.4,138.6,,,23.4,39.0,1,che_aquadam_el_val
0.017640022421524668,0.005611995515695069,0.0064299887892376685,0.006064854260089687,0.00024770179372197315,0.02224063901345292,0.0011412455934195064,0.001495795964125561,0.00044372197309417046,0.0001,1.0,20180901T105621_20180901T105939_T30TXM,0.0028612624338683703,2018-09-01 10:59:39.499000+00:00,0.9779706474705379,89.78796107716677,0.021516380526558927,4.556023289921096,0.021992937219730946,0.00024770179372197315,0.015688086564860836,-0.0008087205495053031,-0.021516380526558927,24.48449875537452,3.6671349482887696,0.28350222942845554,-0.01390504484304933,258.4,138.6,,,23.4,39.0,1,che_aquadam_el_val
0.003328811659192825,0.008323374439461885,0.008759417040358746,0.00936132286995516,0.005956950672645741,0.010157847533632289,0.0015674740484429065,0.0032714999999999997,0.001512107623318386,0.0015365470852017938,1.0,20181006T110029_20181006T110030_T30TWM,0.0014306312169341852,2018-10-06 11:00:30+00:00,0.2606856634016029,1.7052092743149654,0.006541951060561393,0.10882199526524003,0.004200896860986548,0.005956950672645741,-0.24529037287254776,-0.00488807797708022,-0.006541951060561393,1.5714957844022888,1.0850867633498196,-0.5951008645533141,-0.003802634529147984,125.9,116.55000000000001,,,19.0,8.1,1,che_aquadam_el_val
0.025896973094170408,0.007381726457399104,0.01730908071748879,0.01094377802690583,0.003703363228699552,0.008061547085201794,0.00011491745283018868,0.0008059282371294851,0.00019131165919282513,0.0001,1.0,20181006T110029_20181006T110030_T30TXM,0.0014306312169341852,2018-10-06 11:00:30+00:00,0.3704391907988146,2.176817824060059,0.006272021603632569,0.016775552552982697,0.004358183856502242,0.003703363228699552,-0.12430783027234435,-0.004201014840913945,-0.006272021603632569,2.955091723678634,0.7366329128187793,-0.9017573149494106,-0.005799299327354261,125.9,116.55000000000001,,,19.0,8.1,1,che_aquadam_el_val
0.002212021857923497,0.006208520179372197,0.004353139013452915,0.006123206278026905,0.003241255605381167,0.010260089686098655,0.0019274103139013457,0.002786322869955157,0.0017571748878923768,0.00031933856502242155,1.0,20181016T110029_20181016T110523_T30TWM,0.0,2018-10-16 11:05:23+00:00,0.5198618307426597,3.16546762589928,0.007719551569506726,0.40679416693917586,0.007018834080717488,0.003241255605381167,-0.1416601568770132,-0.0020398540821410785,-0.007719551569506726,1.8891463752075255,1.6756073893699996,-0.2969093437401876,-0.004950392376681613,69.9,60.25,,,17.8,0.5,1,che_aquadam_el_val
0.004954147982062781,0.005417993273542602,0.005814013452914799,0.0054010089686098665,0.0021190582959641257,0.009142488789237667,0.00020134529147982069,9.557174887892377e-05,1.860986547085202e-05,0.0,1.0,20181016T110029_20181016T110523_T30TXM,0.0,2018-10-16 11:09:27.576000+00:00,0.6236647984629626,4.314411173420801,0.008046210762331838,0.07299337184662066,0.007023430493273542,0.0021190582959641257,-0.18728883024450707,-0.0027183441881984487,-0.008046210762331838,2.5487779070997783,1.6927371982481263,-0.9825886301657228,-0.005152690582959641,69.9,60.25,,,17.8,0.5,1,che_aquadam_el_val
0.007277242152466368,0.0037694506726457405,0.018971524663677134,0.032532623318385655,0.008574103139013455,0.004365414798206279,0.00010059523809523809,0.00011196528208307501,0.0001345291479820628,0.0001747239263803681,1.0,20181220T110441_20181220T110444_T30TWM,0.0014306312169341852,2018-12-20 11:09:25+00:00,-0.3252585112696618,0.5091395248493089,0.00031051587301587306,-0.01131123356012232,-0.004208688340807176,0.008574103139013455,-0.16386202513185189,-0.007539654957648233,-0.00031051587301587306,3.794288777604895,0.1341857604129694,-0.96910441420682,-0.009874915919282511,1.0,1.0,,,11.3,4.3,1,che_aquadam_el_val
0.0,0.003623822869955157,0.01238979820627803,0.027774495515695073,0.006482847533632288,0.0009048206278026907,0.0,0.0,0.0,0.0,1.0,20181230T110441_20181230T110443_T30TWM,0.0,2018-12-30 11:09:28.161000+00:00,-0.7550456766517952,0.13957148045030868,-0.0021205082212257097,-0.0,-0.005578026905829597,0.006482847533632288,-0.1614082293717927,-0.005947347675991174,0.0021205082212257097,4.284304909471355,0.03257739199228249,-1.0,-0.007856810538116595,2.1,2.05,,,10.7,10.2,1,che_aquadam_el_val
