agua_1px,agua_3x3,agua_5x5,aot,nubes300,sr_1px_B11,sr_1px_B2,sr_1px_B3,sr_1px_B4,sr_1px_B5,sr_1px_B6,sr_1px_B7,sr_1px_B8A,sr_3x3_B11,sr_3x3_B2,sr_3x3_B3,sr_3x3_B4,sr_3x3_B5,sr_3x3_B6,sr_3x3_B7,sr_3x3_B8A,sr_5x5_B11,sr_5x5_B2,sr_5x5_B3,sr_5x5_B4,sr_5x5_B5,sr_5x5_B6,sr_5x5_B7,sr_5x5_B8A,t,toa_1px_B11,toa_1px_B2,toa_1px_B3,toa_1px_B4,toa_1px_B5,toa_1px_B6,toa_1px_B7,toa_1px_B8A,toa_3x3_B11,toa_3x3_B2,toa_3x3_B3,toa_3x3_B4,toa_3x3_B5,toa_3x3_B6,toa_3x3_B7,toa_3x3_B8A,toa_5x5_B11,toa_5x5_B2,toa_5x5_B3,toa_5x5_B4,toa_5x5_B5,toa_5x5_B6,toa_5x5_B7,toa_5x5_B8A,chl_0-1.5,chl_0-3,chl_0-5
1.0,1.0,1.0,0.121,0.02553255948340187,0.004781,0.014032000000000001,0.016026000000000002,0.0050810000000000004,0.0022979999999999997,0.0001,0.0001,0.0001,0.004739966367713005,0.015923654708520182,0.016278979820627804,0.005569394618834081,0.0033509529147982067,0.0001,0.0001789237668161435,0.00018878923766816146,0.005078780537048253,0.016621179083383807,0.01686593983444377,0.005806541490006056,0.004041732283464567,0.00025402786190187765,0.0005329295376539471,0.0004712497476277003,2018-01-24 11:03:32.457000+00:00,0.009366000000000001,0.09761900000000001,0.068032,0.0419,0.0371,0.032019,0.030296,0.024872000000000002,0.009198318385650226,0.098587668161435,0.06800117713004485,0.04215594170403587,0.0377140134529148,0.03243312780269059,0.030138677130044852,0.025117544843049334,0.009304603270745001,0.09868778518069858,0.06800385624873813,0.04209652735715727,0.038021401171007475,0.03280631940238239,0.030699152029073282,0.025117302644861696,32.7,33.95,34.400000000000006
1.0,1.0,1.0,0.121,0.024101928266467683,0.004098,0.023281,0.020026000000000002,0.005698,0.0027809999999999996,0.0001,0.0001,0.0001,0.00406042600896861,0.025357006726457406,0.020431558295964127,0.006242432735426009,0.0037301008968609866,0.0001,0.0001295964125560538,0.0001147982062780269,0.004363153644256005,0.026296931152836663,0.021137613567534824,0.006497557036139713,0.00444397334948516,0.00021554613365636985,0.00034908136482939635,0.00021389057137088631,2018-01-24 11:03:32.457000+00:00,0.009366000000000001,0.09761900000000001,0.068032,0.0419,0.037183,0.032053,0.030296,0.024789000000000002,0.009187500000000001,0.098587668161435,0.06799837443946188,0.04215594170403587,0.03772864349775785,0.0324880605381166,0.030193105381165923,0.025055661434977578,0.009291802947708457,0.0986851403189986,0.06799870785382596,0.04209652735715727,0.03804076317383405,0.03285612759943468,0.03068935998384817,0.025065192812436906,32.7,33.95,34.400000000000006
1.0,1.0,1.0,0.121,0.0,0.0019,0.0,0.005149,0.0,0.0,0.0,0.0,0.0,0.002144899103139014,0.0,0.004598374439461884,0.0,0.0,0.0,0.0,0.0,0.002476600040379568,0.0,0.004334948516050878,0.0,0.0,0.0,0.0,0.0,2018-01-29 11:09:27.540000+00:00,0.007,0.08553,0.058766,0.032385000000000004,0.0278,0.022987,0.023233999999999998,0.016919,0.007190639013452915,0.08492331838565023,0.0584302130044843,0.032331614349775786,0.02829786995515695,0.023626008968609866,0.02276541479820628,0.017162219730941706,0.007472057338986473,0.08494346860488595,0.058251564708257604,0.03226912982031092,0.028518312134060156,0.024064324651726223,0.02254080355340197,0.017394447809408436,21.5,23.9,24.025
1.0,1.0,1.0,0.083,0.0,0.0039,0.009228,0.014732,0.002702,0.000685,0.0,0.0,0.0,0.004066872197309418,0.008293890134529148,0.014212163677130046,0.002586491031390134,0.0014141816143497757,0.0,0.0,0.0,0.004379123763375732,0.008332263274782961,0.013974682010902484,0.00252140117100747,0.0016656167979002623,0.0,4.694124772864929e-05,0.0,2018-01-29 11:09:23.830000+00:00,0.007083000000000001,0.08553,0.058766,0.032385000000000004,0.027951000000000004,0.022887000000000005,0.023134,0.017002,0.007276121076233185,0.08492331838565023,0.0584302130044843,0.032331614349775786,0.028423542600896867,0.023611098654708524,0.022644786995515698,0.017186827354260095,0.007521542499495256,0.08494346860488595,0.05824667878053703,0.03227417726630325,0.02856022612558045,0.02405580456289117,0.022438320209973755,0.017423359580052488,21.5,23.9,24.025
0.0,0.0,0.0,0.187,0.8252610200681093,0.22823600000000005,0.19736099999999998,0.192925,0.19175700000000004,0.202589,0.21385900000000002,0.218649,0.22256399999999998,0.23323475336322874,0.19976210762331842,0.1949898542600897,0.19472264573991033,0.20683503363228703,0.21861799327354262,0.22315700672645747,0.22585011210762337,0.24077411669695128,0.20505554209569957,0.20080785382596403,0.20114968705834851,0.213444720371492,0.22549250959014736,0.2306845144356955,0.23382018978396932,2018-02-08 11:02:11.458000+00:00,0.20613299999999998,0.218709,0.184307,0.183905,0.18955200000000003,0.20405600000000002,0.21166500000000002,0.218063,0.20785711883408076,0.21880823991031392,0.1842265134529148,0.18435229820627805,0.19068054932735426,0.20547853139013456,0.21292623318385653,0.21829176008968612,0.20930341207349074,0.21915857056329502,0.18482029073288916,0.1852292146174036,0.19163898647284472,0.2063926711084191,0.21427771047849783,0.21994942459115682,6.3,6.4,6.5249999999999995
0.0,0.0,0.0,0.105,0.8252610200681093,0.21894,0.209246,0.198212,0.19014599999999998,0.200493,0.209063,0.211821,0.21437,0.2233991591928252,0.21164736547085208,0.2002531950672646,0.19291362107623322,0.20426922645739912,0.21326406950672647,0.2158119394618834,0.2172082959641256,0.2303537250151423,0.21708415101958412,0.2059869170199879,0.1989515647082576,0.21049513426206337,0.21963585705632951,0.2227314354936402,0.2244751059963658,2018-02-08 11:02:11.458000+00:00,0.20613299999999998,0.218709,0.18432400000000002,0.183822,0.18955200000000003,0.20405600000000002,0.21156499999999998,0.21808000000000002,0.20784641255605382,0.21881860986547086,0.18423587443946188,0.18434837443946195,0.1906772421524664,0.20546502242152465,0.2128934417040359,0.21833122197309418,0.20929844538663434,0.21916093276801943,0.18481871592973953,0.1852410458308096,0.19164284272158288,0.2063779325661215,0.2142659196446598,0.21997540884312536,6.3,6.4,6.5249999999999995
1.0,1.0,1.0,0.159,0.0,0.003221,0.0,0.005866,3.4e-05,0.0,0.0,0.0,0.0,0.0031677130044843044,0.0,0.006283408071748881,0.00022584080717488793,0.0,0.0,0.0,0.0,0.003170401776700989,1.8170805572380375e-07,0.0065875429032909326,0.00030337169392287503,0.0,0.0,0.0,0.0,2018-02-23 11:09:31.052000+00:00,0.008987,0.08395300000000001,0.057766000000000005,0.035334,0.031168,0.028350999999999998,0.026049,0.022213,0.008939910313901346,0.08400033632286995,0.058003867713004496,0.03546468609865471,0.03146597533632287,0.02827186098654709,0.026228979820627805,0.02178817264573991,0.008938481728245507,0.0840313749242883,0.05818037552998182,0.03553678578639209,0.03163026448617,0.02815087825560266,0.026510882293559454,0.02175172622652938,12.2,13.1,12.575
0.0,0.0,0.0,0.187,1.0,0.4266020000000001,1.025559,0.926073,0.873411,0.910816,0.8784360000000001,0.8552730000000001,0.834632,0.4291313901345291,1.0326216928251124,0.9318719730941706,0.8784704035874442,0.9139552690582959,0.8848578475336325,0.8609273542600897,0.8415585762331839,0.4348971330506763,1.046615061578841,0.9444434282253179,0.8906389864728446,0.9266991318392891,0.8976275186755499,0.873026186149808,0.8540958207147183,2018-03-05 11:04:34.905000+00:00,0.385387,0.6789300000000001,0.6228830000000001,0.6736169999999999,0.7066769999999999,0.71924,0.734094,0.737566,0.38559781390134534,0.679497869955157,0.622890470852018,0.6731012892376683,0.7055048206278027,0.7206016255605382,0.7350586322869955,0.7396165358744395,0.3854334746618211,0.6798824752675144,0.6228865334140924,0.6729157278417119,0.7056925903492832,0.7209791237633756,0.7350739147991117,0.7400957399555824,19.9,19.35,18.425
0.0,0.0,0.0,0.198,1.0,0.419304,1.039986,0.9275340000000001,0.8685889999999999,0.9068030000000001,0.8712230000000001,0.846677,0.822502,0.4220453475336323,1.0472601457399104,0.9334677130044845,0.8738206278026905,0.9102788677130047,0.8779565582959642,0.8526190022421526,0.8296745515695068,0.42739460932768025,1.0607679386230568,0.9454509792045224,0.8853802745810616,0.9221976176054916,0.8898658994548758,0.8638641833232384,0.8413870381586914,2018-03-05 11:04:34.905000+00:00,0.38537,0.6789300000000001,0.622866,0.6736169999999999,0.7066769999999999,0.71924,0.7341770000000001,0.7376320000000001,0.3855884529147983,0.6794871636771301,0.622876177130045,0.6731150784753365,0.7054944506726458,0.7206016255605382,0.7350775224215247,0.7396060538116592,0.38542929537653947,0.6798724409448816,0.6228856248738138,0.6729208762366241,0.7056853220270543,0.7209789622451037,0.7350793660407833,0.740086210377549,19.9,19.35,18.425
1.0,1.0,1.0,0.11748150224215248,0.0032371537732197053,0.00846,0.024464000000000003,0.043890000000000005,0.021777,0.016411000000000002,0.00253,0.003598,0.0020259999999999996,0.0082210201793722,0.025587556053811664,0.04454596412556054,0.02242090807174888,0.017126345291479824,0.003653755605381166,0.00383335201793722,0.0022341367713004487,0.008394286291136682,0.026629335756107406,0.04566844336765596,0.023133171815061575,0.017793135473450426,0.004021360791439531,0.004082232990107005,0.0028068443367655965,2018-03-15 11:06:09.689000+00:00,0.011362,0.08825100000000001,0.073881,0.043798000000000004,0.037098,0.026732,0.0259,0.020428,0.01105347533632287,0.08887275784753365,0.0740707399103139,0.0441730941704036,0.037517208520179375,0.02755140134529149,0.026011827354260095,0.020484473094170404,0.01108059761760549,0.08927452049263071,0.07438231374924287,0.044445830809610336,0.03782063395921664,0.027708015344235816,0.026075590551181096,0.02086139713305067,10.1,9.35,9.149999999999999
