agua_1px,agua_3x3,agua_5x5,aot,nubes300,sr_1px_B11,sr_1px_B2,sr_1px_B3,sr_1px_B4,sr_1px_B5,sr_1px_B6,sr_1px_B7,sr_1px_B8A,sr_3x3_B11,sr_3x3_B2,sr_3x3_B3,sr_3x3_B4,sr_3x3_B5,sr_3x3_B6,sr_3x3_B7,sr_3x3_B8A,sr_5x5_B11,sr_5x5_B2,sr_5x5_B3,sr_5x5_B4,sr_5x5_B5,sr_5x5_B6,sr_5x5_B7,sr_5x5_B8A,t,toa_1px_B11,toa_1px_B2,toa_1px_B3,toa_1px_B4,toa_1px_B5,toa_1px_B6,toa_1px_B7,toa_1px_B8A,toa_3x3_B11,toa_3x3_B2,toa_3x3_B3,toa_3x3_B4,toa_3x3_B5,toa_3x3_B6,toa_3x3_B7,toa_3x3_B8A,toa_5x5_B11,toa_5x5_B2,toa_5x5_B3,toa_5x5_B4,toa_5x5_B5,toa_5x5_B6,toa_5x5_B7,toa_5x5_B8A
1.0,1.0,1.0,0.127,0.032938179900472944,0.013934,0.015476,0.032011000000000005,0.011166,0.004915,0.0001,0.0001,0.001153,0.013810762331838568,0.01609103139013453,0.03242797085201794,0.01088963004484305,0.004523374439461884,0.0001,0.00015919282511210763,0.0011542040358744395,0.013943145568342419,0.016191843327276398,0.03346434484151019,0.01089297395517868,0.004609287300625883,0.0001355340197859883,0.0005803351504138905,0.0015999596204320614,2018-01-04 11:04:52.496000+00:00,0.018221,0.107008,0.08240199999999999,0.049919,0.042451,0.036283,0.033923,0.029671999999999997,0.01784551569506727,0.10721093049327356,0.08236849775784753,0.04957012331838566,0.042119002242152474,0.03601384529147982,0.03444786995515695,0.029604372197309416,0.017552574197456084,0.10695083787603474,0.08225404805168583,0.04924694124772865,0.04195227135069654,0.0359338784575005,0.035016979608318184,0.02979739551786795
1.0,1.0,1.0,0.132,0.032938179900472944,0.012519,0.01281,0.030028000000000003,0.009883000000000001,0.003266,0.0001,0.0001,0.0001,0.012528531390134531,0.013354988789237668,0.03035089686098655,0.009566199551569506,0.002991816143497758,0.0001,0.0001,0.00010280269058295964,0.012592166363819905,0.013367211790833835,0.0312905309913184,0.009534423581667676,0.003072844740561276,0.0001,0.00014952554007672118,0.00022697355138300013,2018-01-04 11:04:52.496000+00:00,0.018072,0.107008,0.08240199999999999,0.049919,0.042351,0.036334,0.034155,0.029689,0.017851233183856504,0.10721093049327356,0.08235498878923768,0.04957012331838566,0.042080549327354264,0.036116199551569514,0.034503755605381166,0.02962371076233184,0.017563254593175856,0.10695083787603474,0.08224988895618814,0.04924694124772865,0.04195049464970724,0.03598233393902685,0.035041005451241655,0.02984673934988895
0.0,0.0,0.0,0.154,1.0,0.209354,0.6528330000000001,0.586798,0.5414890000000001,0.538822,0.518428,0.503235,0.474142,0.21272387892376687,0.664070908071749,0.5945252802690584,0.5480147982062781,0.5455042600896862,0.5273558856502243,0.510210369955157,0.482767600896861,0.220004663840097,0.6816866343630125,0.6117977993135473,0.563798687664042,0.5610943468604886,0.544755158489804,0.5268004037956794,0.49775182717544925,2018-01-09 11:06:03.474000+00:00,0.19507000000000002,0.45753799999999994,0.40979200000000005,0.429011,0.434457,0.43912700000000005,0.441751,0.43640100000000004,0.19514871076233184,0.4587275784753364,0.4089833520179373,0.4269059977578476,0.4339747757847534,0.4404038677130046,0.44183295964125563,0.43792847533632295,0.19486414294367047,0.4587555420956995,0.40872404603270734,0.4252222895215021,0.4327528366646476,0.440591459721381,0.441434867756915,0.4368020189783969
0.17,0.5184977578475336,0.4651726226529376,0.11,0.14719792642628318,0.011480000000000002,0.0001,0.002526,0.0001,0.0001,0.0001,0.0001,0.0001,0.013912892376681614,0.001476121076233184,0.0048497197309417045,0.0009071188340807175,0.0016457959641255609,0.0014797085201793726,0.002800224215246637,0.0032920403587443953,0.018075711689884914,0.0038079749646678777,0.008520129214617403,0.0030804562891177064,0.00462079547748839,0.0042632344033918836,0.0060710074702200675,0.007460306884716333,2018-01-19 11:08:40.077000+00:00,0.014818000000000001,0.087449,0.059262,0.034783,0.031645,0.028841,0.027624000000000003,0.020585,0.016094226457399104,0.08855,0.060244002242152477,0.03552600896860987,0.03250190582959642,0.02982920403587444,0.02902533632286996,0.023471356502242156,0.01834677972945689,0.08959244902079545,0.06178279830405814,0.036991964465980215,0.03432180496668685,0.0315844740561276,0.0314010498687664,0.026777427821522305
0.17,0.5184977578475336,0.4651726226529376,0.116,0.1400335497046167,0.010231000000000002,0.004479,0.004907000000000001,0.0001,0.0001,0.0001,0.0001,0.0001,0.012525672645739911,0.006740470852017938,0.007066479820627804,0.0008374439461883409,0.0014170403587443947,0.0010598654708520179,0.002203026905829597,0.002573430493273543,0.016491177064405407,0.009429981829194425,0.010691378962245103,0.0028767817484352913,0.0040126993741166975,0.0035141126589945493,0.00503547345043408,0.006247708459519483,2018-01-19 11:08:40.077000+00:00,0.017480000000000002,0.088915,0.06077900000000001,0.035698,0.032777,0.030601,0.030382,0.024424,0.018345739910313904,0.08991451793721975,0.06208895739910314,0.03720246636771301,0.03453228699551569,0.031630381165919284,0.03151434977578476,0.02622713004484305,0.01974972743791641,0.09108348475671307,0.06327670098929943,0.0384182919442762,0.03583795679386229,0.03286226529376136,0.03278429234807187,0.028422168382798305
1.0,1.0,1.0,0.121,0.02553255948340187,0.004781,0.014032000000000001,0.016026000000000002,0.0050810000000000004,0.0022979999999999997,0.0001,0.0001,0.0001,0.004739966367713005,0.015923654708520182,0.016278979820627804,0.005569394618834081,0.0033509529147982067,0.0001,0.0001789237668161435,0.00018878923766816146,0.005078780537048253,0.016621179083383807,0.01686593983444377,0.005806541490006056,0.004041732283464567,0.00025402786190187765,0.0005329295376539471,0.0004712497476277003,2018-01-24 11:03:32.457000+00:00,0.009366000000000001,0.09761900000000001,0.068032,0.0419,0.0371,0.032019,0.030296,0.024872000000000002,0.009198318385650226,0.098587668161435,0.06800117713004485,0.04215594170403587,0.0377140134529148,0.03243312780269059,0.030138677130044852,0.025117544843049334,0.009304603270745001,0.09868778518069858,0.06800385624873813,0.04209652735715727,0.038021401171007475,0.03280631940238239,0.030699152029073282,0.025117302644861696
1.0,1.0,1.0,0.121,0.024101928266467683,0.004098,0.023281,0.020026000000000002,0.005698,0.0027809999999999996,0.0001,0.0001,0.0001,0.00406042600896861,0.025357006726457406,0.020431558295964127,0.006242432735426009,0.0037301008968609866,0.0001,0.0001295964125560538,0.0001147982062780269,0.004363153644256005,0.026296931152836663,0.021137613567534824,0.006497557036139713,0.00444397334948516,0.00021554613365636985,0.00034908136482939635,0.00021389057137088631,2018-01-24 11:03:32.457000+00:00,0.009366000000000001,0.09761900000000001,0.068032,0.0419,0.037183,0.032053,0.030296,0.024789000000000002,0.009187500000000001,0.098587668161435,0.06799837443946188,0.04215594170403587,0.03772864349775785,0.0324880605381166,0.030193105381165923,0.025055661434977578,0.009291802947708457,0.0986851403189986,0.06799870785382596,0.04209652735715727,0.03804076317383405,0.03285612759943468,0.03068935998384817,0.025065192812436906
1.0,1.0,1.0,0.121,0.0,0.0019,0.0,0.005149,0.0,0.0,0.0,0.0,0.0,0.002144899103139014,0.0,0.004598374439461884,0.0,0.0,0.0,0.0,0.0,0.002476600040379568,0.0,0.004334948516050878,0.0,0.0,0.0,0.0,0.0,2018-01-29 11:09:27.540000+00:00,0.007,0.08553,0.058766,0.032385000000000004,0.0278,0.022987,0.023233999999999998,0.016919,0.007190639013452915,0.08492331838565023,0.0584302130044843,0.032331614349775786,0.02829786995515695,0.023626008968609866,0.02276541479820628,0.017162219730941706,0.007472057338986473,0.08494346860488595,0.058251564708257604,0.03226912982031092,0.028518312134060156,0.024064324651726223,0.02254080355340197,0.017394447809408436
1.0,1.0,1.0,0.083,0.0,0.0039,0.009228,0.014732,0.002702,0.000685,0.0,0.0,0.0,0.004066872197309418,0.008293890134529148,0.014212163677130046,0.002586491031390134,0.0014141816143497757,0.0,0.0,0.0,0.004379123763375732,0.008332263274782961,0.013974682010902484,0.00252140117100747,0.0016656167979002623,0.0,4.694124772864929e-05,0.0,2018-01-29 11:09:23.830000+00:00,0.007083000000000001,0.08553,0.058766,0.032385000000000004,0.027951000000000004,0.022887000000000005,0.023134,0.017002,0.007276121076233185,0.08492331838565023,0.0584302130044843,0.032331614349775786,0.028423542600896867,0.023611098654708524,0.022644786995515698,0.017186827354260095,0.007521542499495256,0.08494346860488595,0.05824667878053703,0.03227417726630325,0.02856022612558045,0.02405580456289117,0.022438320209973755,0.017423359580052488
0.0,0.0,0.0,0.187,0.8252610200681093,0.22823600000000005,0.19736099999999998,0.192925,0.19175700000000004,0.202589,0.21385900000000002,0.218649,0.22256399999999998,0.23323475336322874,0.19976210762331842,0.1949898542600897,0.19472264573991033,0.20683503363228703,0.21861799327354262,0.22315700672645747,0.22585011210762337,0.24077411669695128,0.20505554209569957,0.20080785382596403,0.20114968705834851,0.213444720371492,0.22549250959014736,0.2306845144356955,0.23382018978396932,2018-02-08 11:02:11.458000+00:00,0.20613299999999998,0.218709,0.184307,0.183905,0.18955200000000003,0.20405600000000002,0.21166500000000002,0.218063,0.20785711883408076,0.21880823991031392,0.1842265134529148,0.18435229820627805,0.19068054932735426,0.20547853139013456,0.21292623318385653,0.21829176008968612,0.20930341207349074,0.21915857056329502,0.18482029073288916,0.1852292146174036,0.19163898647284472,0.2063926711084191,0.21427771047849783,0.21994942459115682
