corrección,ventana,capa_sonda,filtro,predictores,n,R2_log,RMSE,MAE,sesgo,MAE_log(×),AUC≥10,AUC≥20,clase_trófica_ok
L1C sin corregir,1px,0-3,sin brillo ni aerosoles,NDCI + estacionalidad,153,0.655,22.37,12.7,-3.19,1.79,0.891,0.892,58%
L2A Sen2Cor,3x3,0-5,sin brillo ni aerosoles,NDCI + estacionalidad,147,0.654,19.21,10.09,-2.23,1.64,0.915,0.899,68%
L1C sin corregir,3x3,0-5,"sin brillo (B11<0,02)",NDCI,212,0.651,20.41,12.9,-4.16,1.77,0.899,0.854,56%
L1C sin corregir,5x5,0-5,sin brillo ni aerosoles,NDCI,150,0.65,17.88,10.73,-2.96,1.73,0.899,0.874,61%
L2A Sen2Cor,3x3,0-5,"sin brillo (B11<0,02)",NDCI + estacionalidad,206,0.649,26.72,14.16,-2.24,1.67,0.931,0.899,69%
L1C sin corregir,1px,0-1.5,sin brillo ni aerosoles,NDCI + estacionalidad,153,0.649,31.12,15.09,-4.49,1.82,0.894,0.875,58%
L1C sin corregir,3x3,0-3,sin brillo ni aerosoles,NDCI,150,0.647,23.45,13.94,-3.74,1.84,0.869,0.89,55%
L2A Sen2Cor,5x5,0-5,"sin brillo (B11<0,02)",NDCI + estacionalidad,207,0.645,29.76,14.94,-1.27,1.68,0.941,0.908,68%
L1C sin corregir,3x3,0-1.5,"sin brillo (B11<0,02)",NDCI,212,0.643,56.01,23.94,-9.9,1.94,0.868,0.88,55%
L1C sin corregir,1px,0-3,sin filtro,NDCI + estacionalidad,285,0.642,29.95,17.41,-5.34,1.81,0.898,0.837,58%
L2A Sen2Cor,5x5,0-3,sin filtro,NDCI + estacionalidad,223,0.642,62.12,24.41,0.71,1.77,0.938,0.91,67%
L2A Sen2Cor,1px,0-5,sin brillo ni aerosoles,NDCI + estacionalidad,147,0.642,19.04,10.15,-2.32,1.65,0.915,0.895,68%
L1C sin corregir,1px,0-5,"sin brillo (B11<0,02)",NDCI + estacionalidad,218,0.638,20.6,12.38,-2.93,1.73,0.913,0.862,61%
L1C sin corregir,3x3,0-1.5,sin filtro,NDCI + estacionalidad,255,0.638,52.16,23.58,-8.32,1.88,0.901,0.858,57%
L2A Sen2Cor,3x3,0-3,sin filtro,NDCI + estacionalidad,249,0.637,49.3,22.43,-2.29,1.8,0.928,0.88,65%
L1C sin corregir,3x3,0-1.5,sin brillo ni aerosoles,NDCI,150,0.63,34.12,16.7,-5.58,1.92,0.845,0.881,51%
L1C sin corregir,3x3,0-5,sin brillo ni aerosoles,NDCI,150,0.629,17.83,10.88,-2.98,1.77,0.893,0.865,58%
L2A Sen2Cor,5x5,0-5,sin filtro,NDCI + estacionalidad,223,0.628,29.03,14.56,-1.38,1.68,0.937,0.888,68%
L1C sin corregir,3x3,0-5,sin brillo ni aerosoles,NDCI + estacionalidad,150,0.623,17.86,10.63,-1.69,1.76,0.904,0.874,54%
L1C sin corregir,1px,0-5,sin brillo ni aerosoles,NDCI + estacionalidad,153,0.615,17.93,10.51,-2.31,1.75,0.902,0.867,56%
